Value,Test
16.272,736309
16.272,736310
16.365,736311
15.924,736312
15.963,736313
15.717,736314
14.853,736315
14.678,736316
14.678,736317
14.799,736318
14.485,736319
14.302,736320
13.782,736321
13.616,736322
13.616,736323
13.616,736324
13.616,736325
13.705,736326
14.947,736327
14.93,736328
14.282,736329
14.282,736330
14.282,736331
14.296,736332
14.46,736333
14.797,736334
15.14,736335
15.082,736336
14.594,736337
14.594,736338
14.711,736339
14.766,736340
14.045,736341
14.221,736342
13.839,736343
13.433,736344
13.433,736345
13.532,736346
13.351,736347
13.526,736348
12.919,736349
12.557,736350
13.046,736351
13.046,736352
13.107,736353
12.792,736354
12.406,736355
13.083,736356
13.658,736357
13.166,736358
13.166,736359
13.18,736360
12.815,736361
12.639,736362
12.901,736363
12.537,736364
12.086,736365
12.086,736366
12.199,736367
12.237,736368
12.335,736369
12.078,736370
12.037,736371
12.069,736372
12.069,736373
12.177,736374
12.334,736375
12.371,736376
12.276,736377
12.36,736378
12.021,736379
12.021,736380
12.36,736381
12.346,736382
12.637,736383
12.391,736384
12.3,736385
12.231,736386
12.231,736387
12.396,736388
12.492,736389
12.592,736390
12.657,736391
12.542,736392
12.349,736393
12.349,736394
12.423,736395
12.344,736396
12.431,736397
12.369,736398
12.256,736399
12.131,736400
12.131,736401
12.212,736402
12.302,736403
12.323,736404
12.325,736405
12.302,736406
12.22,736407
12.22,736408
12.306,736409
12.122,736410
12.033,736411
12.042,736412
11.974,736413
11.974,736414
11.974,736415
11.974,736416
12.054,736417
12.072,736418
12.111,736419
12.137,736420
11.741,736421
11.741,736422
11.801,736423
11.442,736424
11.288,736425
11.399,736426
11.274,736427
11.161,736428
11.161,736429
11.163,736430
11.133,736431
11.227,736432
11.308,736433
11.315,736434
11.26,736435
11.26,736436
11.241,736437
11.4,736438
11.66,736439
11.84,736440
12.43,736441
12.733,736442
12.733,736443
12.864,736444
13.184,736445
14.091,736446
14.495,736447
13.527,736448
12.939,736449
12.939,736450
12.939,736451
12.989,736452
12.192,736453
12.196,736454
12.882,736455
12.568,736456
12.568,736457
12.688,736458
13.161,736459
12.743,736460
12.842,736461
13.119,736462
12.895,736463
12.895,736464
12.948,736465
12.956,736466
13.139,736467
13.044,736468
12.896,736469
12.882,736470
12.882,736471
12.964,736472
12.851,736473
12.924,736474
13.157,736475
13.451,736476
13.694,736477
13.694,736478
13.694,736479
13.718,736480
14.286,736481
14.186,736482
14.548,736483
14.388,736484
14.388,736485
14.446,736486
14.563,736487
14.639,736488
14.62,736489
14.244,736490
13.984,736491
13.984,736492
13.993,736493
13.727,736494
13.739,736495
14.258,736496
14.065,736497
14.359,736498
14.359,736499
14.397,736500
14.942,736501
14.929,736502
15.273,736503
15.176,736504
14.82,736505
14.82,736506
14.836,736507
14.354,736508
14.199,736509
14.316,736510
14.141,736511
13.897,736512
13.897,736513
13.988,736514
14.263,736515
14.177,736516
14,736517
14.294,736518
13.897,736519
13.897,736520
13.992,736521
13.933,736522
14.152,736523
14.197,736524
14.254,736525
14.059,736526
14.059,736527
14.158,736528
14.234,736529
14.259,736530
14.4,736531
14.776,736532
14.647,736533
14.647,736534
14.727,736535
14.797,736536
14.502,736537
14.256,736538
14.138,736539
13.69,736540
13.69,736541
13.874,736542
13.743,736543
13.491,736544
13.328,736545
13.307,736546
12.942,736547
12.942,736548
13.094,736549
12.86,736550
12.702,736551
12.719,736552
12.272,736553
11.742,736554
11.742,736555
11.87,736556
11.06,736557
11.407,736558
11.486,736559
11.578,736560
10.495,736561
10.495,736562
10.542,736563
10.936,736564
11.485,736565
11.092,736566
10.932,736567
11.057,736568
11.057,736569
11.057,736570
11.194,736571
11.634,736572
11.516,736573
11.559,736574
12.03,736575
12.03,736576
12.153,736577
12.127,736578
11.741,736579
11.405,736580
10.977,736581
10.94,736582
10.94,736583
10.986,736584
10.643,736585
11.027,736586
11.121,736587
11.263,736588
11.77,736589
11.77,736590
11.825,736591
12.512,736592
12.664,736593
12.688,736594
13.464,736595
13.211,736596
13.211,736597
13.349,736598
13.565,736599
13.267,736600
13.166,736601
13.617,736602
13.165,736603
13.165,736604
13.275,736605
13.563,736606
13.133,736607
14.584,736608
15.583,736609
15.51,736610
15.51,736611
15.688,736612
15.167,736613
15.689,736614
15.441,736615
15.466,736616
15.528,736617
15.528,736618
15.62,736619
15.889,736620
16.319,736621
16.711,736622
17.052,736623
16.755,736624
16.755,736625
16.791,736626
17.374,736627
17.587,736628
17.466,736629
17.439,736630
16.879,736631
16.879,736632
17.069,736633
17.355,736634
18.272,736635
18.686,736636
19.118,736637
18.27,736638
18.27,736639
18.387,736640
18.451,736641
17.573,736642
17.922,736643
18.146,736644
18.171,736645
18.171,736646
18.226,736647
17.753,736648
17.773,736649
17.804,736650
17.405,736651
17.832,736652
17.832,736653
17.905,736654
17.377,736655
17.566,736656
17.807,736657
17.794,736658
17.84,736659
17.84,736660
17.931,736661
18.169,736662
18.32,736663
18.261,736664
17.986,736665
17.715,736666
17.715,736667
17.784,736668
17.429,736669
16.74,736670
16.428,736671
16.188,736672
16.771,736673
16.771,736674
16.81,736675
17.367,736676
17.424,736677
17.151,736678
17.339,736679
17.357,736680
17.357,736681
17.405,736682
17.558,736683
17.787,736684
17.74,736685
17.963,736686
18.025,736687
18.025,736688
18.025,736689
18.025,736690
18.215,736691
18.845,736692
19.319,736693
19.645,736694
19.645,736695
19.645,736696
19.689,736697
18.888,736698
18.96,736699
19.364,736700
19.048,736701
19.048,736702
19.026,736703
19.091,736704
19.961,736705
20.217,736706
20.996,736707
20.254,736708
20.254,736709
20.368,736710
19.492,736711
19.6,736712
20.023,736713
20.392,736714
20.715,736715
20.715,736716
20.784,736717
21.51,736718
21.623,736719
20.992,736720
20.359,736721
19.657,736722
19.657,736723
19.675,736724
20.401,736725
21.383,736726
22.023,736727
22.447,736728
22.757,736729
22.757,736730
22.925,736731
22.773,736732
22.208,736733
21.152,736734
20.854,736735
20.009,736736
20.009,736737
20.07,736738
19.632,736739
19.029,736740
18.799,736741
19.102,736742
18.287,736743
18.287,736744
18.295,736745
18.354,736746
18.06,736747
17.676,736748
18.191,736749
17.774,736750
17.774,736751
17.841,736752
17.38,736753
17.217,736754
16.856,736755
16.989,736756
16.505,736757
16.505,736758
16.646,736759
16.465,736760
16.732,736761
16.254,736762
16.137,736763
15.999,736764
15.999,736765
16.161,736766
15.738,736767
15.921,736768
16.126,736769
15.863,736770
15.578,736771
15.578,736772
15.692,736773
15.644,736774
15.574,736775
15.342,736776
15.37,736777
14.943,736778
14.943,736779
15.011,736780
14.706,736781
14.688,736782
14.995,736783
15.168,736784
15.79,736785
15.79,736786
15.854,736787
16.029,736788
16.228,736789
16.202,736790
16.171,736791
16.089,736792
16.089,736793
16.135,736794
15.824,736795
15.575,736796
15.727,736797
15.718,736798
15.718,736799
15.718,736800
15.718,736801
15.801,736802
16.092,736803
16.552,736804
16.245,736805
16.358,736806
16.358,736807
16.438,736808
16.644,736809
16.288,736810
16.257,736811
16.412,736812
16.333,736813
16.333,736814
16.333,736815
16.387,736816
16.667,736817
16.803,736818
16.315,736819
15.956,736820
15.956,736821
16.03,736822
15.809,736823
15.898,736824
15.939,736825
15.574,736826
15.281,736827
15.281,736828
15.361,736829
15.502,736830
15.489,736831
15.474,736832
15.642,736833
15.525,736834
15.525,736835
15.546,736836
15.305,736837
15.315,736838
15.459,736839
15.189,736840
15.044,736841
15.044,736842
15.044,736843
15.084,736844
15.518,736845
15.374,736846
15.152,736847
