date,price
736275.0,
736276.0,416.75
736277.0,421.25
736278.0,412.75
736279.0,404.0
736280.0,398.5
736281.0,
736282.0,
736283.0,388.0
736284.0,395.75
736285.0,395.25
736286.0,399.75
736287.0,397.0
736288.0,
736289.0,
736290.0,405.75
736291.0,407.25
736292.0,402.5
736293.0,396.75
736294.0,392.5
736295.0,
736296.0,
736297.0,394.25
736298.0,378.5
736299.0,369.75
736300.0,371.5
736301.0,373.75
736302.0,
736303.0,
736304.0,352.75
736305.0,349.25
736306.0,344.75
736307.0,336.25
736308.0,314.0
736309.0,
736310.0,
736311.0,303.25
736312.0,317.25
736313.0,309.25
736314.0,307.75
736315.0,315.0
736316.0,
736317.0,
736318.0,302.25
736319.0,307.5
736320.0,311.0
736321.0,314.0
736322.0,
736323.0,
736324.0,
736325.0,
736326.0,316.25
736327.0,307.5
736328.0,302.0
736329.0,
736330.0,
736331.0,
736332.0,307.5
736333.0,309.5
736334.0,296.75
736335.0,299.5
736336.0,281.75
736337.0,
736338.0,
736339.0,274.75
736340.0,269.0
736341.0,265.0
736342.0,260.75
736343.0,257.25
736344.0,
736345.0,
736346.0,251.5
736347.0,253.75
736348.0,231.25
736349.0,243.0
736350.0,268.5
736351.0,
736352.0,
736353.0,260.75
736354.0,265.0
736355.0,275.0
736356.0,290.25
736357.0,288.75
736358.0,
736359.0,
736360.0,282.5
736361.0,279.0
736362.0,291.5
736363.0,301.75
736364.0,295.25
736365.0,
736366.0,
736367.0,294.5
736368.0,277.0
736369.0,267.0
736370.0,272.0
736371.0,297.75
736372.0,
736373.0,
736374.0,297.25
736375.0,292.0
736376.0,306.75
736377.0,307.75
736378.0,293.25
736379.0,
736380.0,
736381.0,301.75
736382.0,288.25
736383.0,289.75
736384.0,294.5
736385.0,309.75
736386.0,
736387.0,
736388.0,309.75
736389.0,308.0
736390.0,316.25
736391.0,314.25
736392.0,321.25
736393.0,
736394.0,
736395.0,336.75
736396.0,338.5
736397.0,341.25
736398.0,336.0
736399.0,341.75
736400.0,
736401.0,
736402.0,330.25
736403.0,324.5
736404.0,341.5
736405.0,354.75
736406.0,355.5
736407.0,
736408.0,
736409.0,352.0
736410.0,356.0
736411.0,346.25
736412.0,339.25
736413.0,
736414.0,
736415.0,
736416.0,
736417.0,323.0
736418.0,333.25
736419.0,337.25
736420.0,317.0
736421.0,
736422.0,
736423.0,311.25
736424.0,300.0
736425.0,316.0
736426.0,307.5
736427.0,338.25
736428.0,
736429.0,
736430.0,342.0
736431.0,357.75
736432.0,358.25
736433.0,358.5
736434.0,348.25
736435.0,
736436.0,
736437.0,353.75
736438.0,360.25
736439.0,367.5
736440.0,372.75
736441.0,378.0
736442.0,
736443.0,
736444.0,375.75
736445.0,382.0
736446.0,387.5
736447.0,399.75
736448.0,397.25
736449.0,
736450.0,
736451.0,
736452.0,373.5
736453.0,375.5
736454.0,380.75
736455.0,382.25
736456.0,
736457.0,
736458.0,364.5
736459.0,379.75
736460.0,401.5
736461.0,399.75
736462.0,407.0
736463.0,
736464.0,
736465.0,419.5
736466.0,430.5
736467.0,438.25
736468.0,423.25
736469.0,434.0
736470.0,
736471.0,
736472.0,431.75
736473.0,438.5
736474.0,438.0
736475.0,437.25
736476.0,436.25
736477.0,
736478.0,
736479.0,
736480.0,441.5
736481.0,430.0
736482.0,437.25
736483.0,430.25
736484.0,
736485.0,
736486.0,433.25
736487.0,443.25
736488.0,451.75
736489.0,447.0
736490.0,439.25
736491.0,
736492.0,
736493.0,439.5
736494.0,431.75
736495.0,427.75
736496.0,410.75
736497.0,420.5
736498.0,
736499.0,
736500.0,438.0
736501.0,433.0
736502.0,432.5
736503.0,436.75
736504.0,422.5
736505.0,
736506.0,
736507.0,408.0
736508.0,415.75
736509.0,436.75
736510.0,428.75
736511.0,420.5
736512.0,
736513.0,
736514.0,422.25
736515.0,404.5
736516.0,404.25
736517.0,405.0
736518.0,395.75
736519.0,
736520.0,
736521.0,396.75
736522.0,405.0
736523.0,385.0
736524.0,392.25
736525.0,392.75
736526.0,
736527.0,
736528.0,382.75
736529.0,390.0
736530.0,394.25
736531.0,389.0
736532.0,377.5
736533.0,
736534.0,
736535.0,371.75
736536.0,369.75
736537.0,365.5
736538.0,357.25
736539.0,356.25
736540.0,
736541.0,
736542.0,343.75
736543.0,344.5
736544.0,351.0
736545.0,355.0
736546.0,359.5
736547.0,
736548.0,
736549.0,371.75
736550.0,375.0
736551.0,368.5
736552.0,386.5
736553.0,393.75
736554.0,
736555.0,
736556.0,407.0
736557.0,413.75
736558.0,415.5
736559.0,428.0
736560.0,427.5
736561.0,
736562.0,
736563.0,421.5
736564.0,425.25
736565.0,417.25
736566.0,422.75
736567.0,424.5
736568.0,
736569.0,
736570.0,
736571.0,415.5
736572.0,402.0
736573.0,389.0
736574.0,398.5
736575.0,
736576.0,
736577.0,402.25
736578.0,398.25
736579.0,403.0
736580.0,421.75
736581.0,416.75
736582.0,
736583.0,
736584.0,414.75
736585.0,406.75
736586.0,401.0
736587.0,407.0
736588.0,404.5
